"序号","项目","比赛名称","开始日期","结束日期","承办单位","地点","是否我们项目"
"23","冰壶","2025-2026赛季全国冰壶青少年锦标赛","2025-08-04","2025-08-20","黑龙江省冬季运动与后备人才管理中心","黑龙江省哈尔滨市平房区冰壶馆","否"
"24","冰壶","2025-2026赛季中国冰壶联赛（黑龙江伊春站）","2025-09-04","2025-09-16","北京山水富源体育文化发展有限公司","黑龙江省伊春市红松体育馆","否"
"7","短道速滑","2025-2026赛季全国滑冰U系列中学校际联赛（短道速滑）第一站","2025-09-18","2025-09-21","七台河市体育局","七台河市体育中心","否"
"12","速度滑冰","2025-2026赛季中国杯速度滑冰精英联赛第一站","2025-09-18","2025-09-21","黑龙江省体育局","黑龙江省速滑馆","否"
"8","短道速滑","2025-2026赛季全国滑冰U系列中学校际联赛（短道速滑）第二站","2025-09-25","2025-09-28","七台河市体育局","七台河市体育中心","否"
"13","速度滑冰","2025-2026赛季中国杯速度滑冰精英联赛第二站","2025-09-25","2025-09-28","黑龙江省体育局","黑龙江省速滑馆","否"
"1","短道速滑","2025-2026赛季中国杯短道速滑精英联赛第一站","2025-10-09","2025-10-12","河北省体育局","河北省承德市冰上运动中心","否"
"2","短道速滑","2025-2026赛季中国杯短道速滑精英联赛第二站","2025-10-16","2025-10-19","黑龙江省体育局","黑龙江省冰上训练中心综合馆","否"
"25","冰壶","2025-2026赛季中国冰壶联赛（吕梁离石站）","2025-10-16","2025-10-25","","山西省吕梁市离石滑冰馆","否"
"34","自由式滑雪雪上技巧","2025-2026赛季全国自由式滑雪雪上技巧青少年锦标赛","2025-10-25","2025-10-30","哈尔滨市滑雪协会","黑龙江省哈尔滨市热雪奇迹","否"
"14","速度滑冰","2025-2026赛季中国杯速度滑冰精英联赛第三站","2025-10-30","2025-11-02","呼伦贝尔市体育局","内蒙古冰上运动训练中心","否"
"15","速度滑冰","2025-2026赛季中国杯速度滑冰精英联赛总决赛","2025-11-06","2025-11-09","呼伦贝尔市体育局","内蒙古冰上运动训练中心","否"
"19","速度滑冰","2025-2026赛季全国滑冰U系列中学校际联赛（速度滑冰）第一站","2025-11-14","2025-11-16","呼伦贝尔市体育局","内蒙古冰上运动训练中心","否"
"3","短道速滑","2025-2026赛季中国杯短道速滑精英联赛第三站","2025-11-20","2025-11-23","呼和浩特市体育局","呼和浩特体育中心综合体育馆","否"
"54","单板滑雪大跳台和坡面障碍技巧","2025-2026赛季全国单板滑雪大跳台和坡面障碍技巧青少年U系列比赛-第一站","2025-11-22","2025-11-25","北京华体冰雪产业发展有限公司","成都热雪奇迹滑雪馆","是"
"53","自由式滑雪大跳台和坡面障碍技巧","2025-2026赛季全国自由式滑雪大跳台和坡面障碍技巧青少年U系列比赛-第一站","2025-11-25","2025-11-28","北京华体冰雪产业发展有限公司","成都热雪奇迹滑雪馆","是"
"4","短道速滑","2025-2026赛季中国杯短道速滑精英联赛第四站","2025-11-27","2025-11-30","呼和浩特市体育局","呼和浩特体育中心综合体育馆","否"
"26","冰壶","2025-2026赛季中国冰壶联赛（青海西宁站）","2025-12-03","2025-12-11","","青海多巴高原训练基地","否"
"20","速度滑冰","2025-2026赛季全国滑冰U系列中学校际联赛（速度滑冰）第二站","2025-12-05","2025-12-07","大庆市体育局","大庆市滑冰馆","否"
"42","自由式滑雪大跳台和坡面障碍技巧","2025-2026赛季全国自由式滑雪大跳台青少年锦标赛","2025-12-08","2025-12-15","张家口市大型体育赛事中心","张家口市云顶滑雪场","是"
"48","单板滑雪大跳台和坡面障碍技巧","2025-2026赛季全国单板滑雪大跳台青少年锦标赛","2025-12-08","2025-12-15","张家口市大型体育赛事中心","张家口市云顶滑雪场","是"
"27","冰壶","2025-2026赛季中国冰壶联赛总决赛（青海·西宁）","2025-12-14","2025-12-24","","青海多巴高原训练基地","否"
"41","自由式滑雪大跳台和坡面障碍技巧","2025-2026赛季全国自由式滑雪大跳台锦标赛","2025-12-16","2025-12-22","张家口市大型体育赛事中心","张家口市云顶滑雪场","是"
"47","单板滑雪大跳台和坡面障碍技巧","2025-2026赛季全国单板滑雪大跳台锦标赛","2025-12-16","2025-12-22","张家口市大型体育赛事中心","张家口市云顶滑雪场","是"
"9","短道速滑","2025-2026赛季全国滑冰U系列中学校际联赛（短道速滑）第三站","2025-12-18","2025-12-21","延庆区体育局","北京市冰上项目训练基地","否"
"37","自由式滑雪U型场地","2025-2026赛季全国自由式滑雪U型场地锦标赛","2025-12-22","2025-12-28","张家口市大型体育赛事中心","张家口市云顶滑雪场","否"
"5","短道速滑","2025-2026赛季全国短道速滑锦标赛","2026-01-02","2026-01-04","国家速滑馆","国家速滑馆","否"
"30","花样滑冰","2025中国花样滑冰俱乐部联赛","2025年7月至8月","2025年7月至8月","分站赛：济南忠义冰雪体育文化传播有限公司       哈尔滨市花样滑冰协会       阿勒泰布尔津县文体广电旅游局       苏州零度冰雪体育发展有限公司       北京世纪星滑冰俱乐部总决赛：北京万域芳菲滑冰俱乐部","分站赛：
济南奥体冰上运动中心
哈尔滨市八区体育中心冰球馆
布尔津县冰上运动中心
苏州中心商场北区4楼冠军冰场
北京世纪星国际冰雪体育中心
总决赛：
华熙LIVE冰上中心B2层","否"
"39","单板滑雪U型场地","2025-2026赛季全国单板滑雪U型场地锦标赛","2025-12-22","2025-12-28","张家口市大型体育赛事中心","张家口市云顶滑雪场","否"
"35","自由式滑雪雪上技巧","2025-2026赛季全国自由式滑雪雪上技巧锦标赛","2025-12-25","2025-12-30","长春市冬季运动管理中心（长春业余冰雪运动学校）","吉林省长春市庙香山滑雪场","否"
"31","自由式滑雪空中技巧","2025-2026赛季全国自由式滑雪空中技巧锦标赛","2026-01-01","2026-01-01","长春市冬季运动管理中心（长春业余冰雪运动学校）","吉林省长春市莲花山滑雪场","否"
"38","自由式滑雪U型场地","2025-2026赛季全国自由式滑雪U型场地冠军赛","2026年3月3月3-10日","2026年3月3月3-10日","扎兰屯市文体旅游广电局","扎兰屯市金龙山滑雪场","否"
